=====KeyboardLogger Started=====
2020-11-12T03:44:25-72    d pressed
2020-11-12T03:44:26-56    v pressed
2020-11-12T03:44:27-20    e pressed
2020-11-12T03:44:30-84     Key.backspace  pressed
2020-11-12T03:44:31-04     Key.backspace  pressed
2020-11-12T03:44:31-25     Key.backspace  pressed
2020-11-12T03:44:38-69     Key.shift_r  pressed
2020-11-12T03:44:38-77    T pressed
2020-11-12T03:44:38-99    h pressed
2020-11-12T03:44:39-04    e pressed
2020-11-12T03:44:39-12    SPACE pressed
2020-11-12T03:44:39-78    p pressed
2020-11-12T03:44:39-89    a pressed
2020-11-12T03:44:40-12    c pressed
2020-11-12T03:44:40-35    k pressed
2020-11-12T03:44:40-46    a pressed
2020-11-12T03:44:40-72    g pressed
2020-11-12T03:44:40-87    e pressed
2020-11-12T03:44:40-96    SPACE pressed
2020-11-12T03:44:42-00    p pressed
2020-11-12T03:44:42-13    y pressed
2020-11-12T03:44:43-08    n pressed
2020-11-12T03:44:43-76    p pressed
2020-11-12T03:44:44-14    u pressed
2020-11-12T03:44:44-26    t pressed
2020-11-12T03:44:44-32    SPACE pressed
2020-11-12T03:44:45-08     Key.backspace  pressed
2020-11-12T03:44:45-37    . pressed
2020-11-12T03:44:45-93    k pressed
2020-11-12T03:44:46-17    e pressed
2020-11-12T03:44:46-51    y pressed
2020-11-12T03:44:46-95    b pressed
2020-11-12T03:44:47-49    o pressed
2020-11-12T03:44:47-81    a pressed
2020-11-12T03:44:47-97    r pressed
2020-11-12T03:44:48-12    d pressed
2020-11-12T03:44:48-56    SPACE pressed
2020-11-12T03:44:49-15    c pressed
2020-11-12T03:44:49-25    o pressed
2020-11-12T03:44:49-36    n pressed
2020-11-12T03:44:49-48    t pressed
2020-11-12T03:44:49-71    a pressed
2020-11-12T03:44:49-80    i pressed
2020-11-12T03:44:49-89    n pressed
2020-11-12T03:44:50-08    s pressed
2020-11-12T03:44:50-64    SPACE pressed
2020-11-12T03:44:50-94    c pressed
2020-11-12T03:44:51-07    l pressed
2020-11-12T03:44:51-18    a pressed
2020-11-12T03:44:51-38    s pressed
2020-11-12T03:44:51-50    s pressed
2020-11-12T03:44:51-66    e pressed
2020-11-12T03:44:51-85    s pressed
2020-11-12T03:44:51-97    SPACE pressed
2020-11-12T03:44:52-28    f pressed
2020-11-12T03:44:52-36    o pressed
2020-11-12T03:44:52-43    r pressed
2020-11-12T03:44:52-46    SPACE pressed
2020-11-12T03:44:52-73    c pressed
2020-11-12T03:44:52-81    o pressed
2020-11-12T03:44:52-90    n pressed
2020-11-12T03:44:53-07    t pressed
2020-11-12T03:44:53-22    r pressed
2020-11-12T03:44:53-38    o pressed
2020-11-12T03:44:53-59    l pressed
2020-11-12T03:44:53-74    l pressed
2020-11-12T03:44:54-30    i pressed
2020-11-12T03:44:54-37    n pressed
2020-11-12T03:44:54-51    g pressed
2020-11-12T03:44:54-57    SPACE pressed
2020-11-12T03:44:55-13    a pressed
2020-11-12T03:44:55-19    n pressed
2020-11-12T03:44:55-29    d pressed
2020-11-12T03:44:55-35    SPACE pressed
2020-11-12T03:44:56-03    m pressed
2020-11-12T03:44:56-28    o pressed
2020-11-12T03:44:56-79    n pressed
2020-11-12T03:44:57-00    i pressed
2020-11-12T03:44:59-44    t pressed
2020-11-12T03:44:59-56    o pressed
2020-11-12T03:44:59-66    r pressed
2020-11-12T03:44:59-80    i pressed
2020-11-12T03:44:59-88    n pressed
2020-11-12T03:45:00-00    g pressed
2020-11-12T03:45:00-08    SPACE pressed
2020-11-12T03:45:00-93    t pressed
2020-11-12T03:45:00-98    h pressed
2020-11-12T03:45:01-07    e pressed
2020-11-12T03:45:01-16    SPACE pressed
2020-11-12T03:45:02-06    k pressed
2020-11-12T03:45:02-27    e pressed
2020-11-12T03:45:02-49    y pressed
2020-11-12T03:45:02-83    b pressed
2020-11-12T03:45:03-12    o pressed
2020-11-12T03:45:03-34    a pressed
2020-11-12T03:45:03-53    r pressed
2020-11-12T03:45:03-71    d pressed
2020-11-12T03:45:09-80     Key.enter  pressed
